test_id,tag
test00855,1769816.391
test00748,1771057.348
test01721,1771851.188
test01156,1772197.309
test00432,1773363.431
test01063,1774236.984
test00516,1775417.985
test00067,1777777.778
test01870,1779027.903
test01256,1781785.392
test00023,1783832.879
test00287,1783844.765
test01588,1790666.063
test00679,1791119.166
test00771,1791477.788
test01849,1793557.169
test01326,1797635.289
test01062,1799271.734
test00417,1799635.701
test01860,1800091.075
test01944,1802097.583
test01916,1808099.402
test01612,1808471.455
test01490,1811640.697
test00783,1812844.037
test01826,1813105.676
test00551,1813942.752
test00289,1813942.752
test01803,1815619.224
test00015,1816836.263
test00281,1818981.481
test00930,1819144.04
test01086,1820819.899
test01794,1822498.847
test00077,1824561.404
test01072,1825023.084
test00112,1829629.63
test00626,1834338.747
test00206,1835123.774
test01299,1836839.645
test00334,1837749.884
test01496,1838558.727
test01003,1838604.651
test00524,1838604.651
test00969,1839460.214
test01995,1839851.024
test01907,1840316.574
test01725,1842006.564
test01967,1842424.242
test01422,1846334.586
test01027,1848924.228
test01898,1848924.228
test01863,1849789.424
test00275,1849789.424
test00419,1851053.864
test00999,1851522.248
test01893,1857612.782
test00163,1858486.131
test01074,1858486.131
test01852,1861203.221
test00395,1861611.374
test01630,1862494.073
test01427,1864622.642
test01656,1865911.237
test01936,1865911.237
test00782,1865911.237
test01805,1866508.314
test01026,1867264.998
test00577,1869172.217
test01929,1872098.532
test00462,1872985.782
test01575,1872985.782
test00155,1874348.032
test00321,1874522.901
test00928,1875237.192
test01213,1878527.021
test00589,1879904.306
test01191,1880325.515
test01757,1880589.914
test01181,1881009.043
test00368,1881485.007
test00586,1881704.981
test01764,1881704.981
test01808,1882380.952
test01006,1882606.612
test00922,1884175.405
test01144,1884412.47
test01139,1885073.915
test01365,1886873.508
test01486,1889579.35
test00756,1889579.35
test00961,1890760.346
test00849,1892100.193
test01811,1894106.373
test01548,1897263.562
test01204,1898174.832
test00406,1898501.692
test01384,1898655.139
test00656,1898655.139
test01337,1901394.901
test01103,1904142.582
test01641,1904578.313
test00578,1905978.785
test01284,1906898.215
test01955,1908256.881
test01127,1908739.739
test01404,1910584.824
test00691,1910584.824
test00701,1911508.704
test00871,1911949.686
test00300,1913359.148
test01957,1914728.682
test00051,1915163.335
test00970,1915213.178
test00549,1915213.178
test00615,1916141.541
test01263,1916585.839
test01309,1917070.805
test00803,1917968.75
test01397,1918932.039
test00177,1919394.235
test00982,1920796.89
test01796,1920796.89
test01785,1921271.394
test01408,1921271.394
test01036,1923152.227
test00966,1923600.973
test00908,1924537.488
test00383,1925980.392
test00825,1929687.5
test00027,1930630.191
test01946,1930630.191
test01699,1931118.71
test00698,1931118.71
test00449,1934410.181
test00987,1934899.657
test01628,1934975.369
test01621,1935357.493
test01022,1935847.209
test01024,1935847.209
test00260,1936795.688
test00048,1938205.002
test01743,1938332.511
test00130,1939646.712
test00881,1940108.002
test00073,1940108.002
test01896,1941205.534
test00273,1941552.063
test01117,1941552.063
test00333,1941552.063
test01980,1941670.786
test00028,1942969.518
test01971,1943925.234
test00933,1944417.118
test00171,1944417.118
test01662,1944881.89
test01835,1947290.64
test00078,1947757.516
test01923,1947757.516
test00960,1948908.73
test01599,1949679.329
test00386,1950347.567
test00949,1950844.091
test00219,1951135.242
test01748,1951135.242
test00145,1952098.765
test01965,1952569.17
test01019,1952783.3
test00747,1954726.368
test00666,1954995.054
test01104,1955962.395
test00101,1956435.644
test00673,1956673.307
test01339,1957899.95
test01798,1957899.95
test01580,1959102.244
test00032,1961058.412
test01976,1961290.323
test00083,1961290.323
test00864,1962264.151
test01030,1963735.718
test01292,1965688.712
test00214,1965688.712
test01927,1966169.154
test01978,1967147.835
test01055,1967645.595
test00632,1967645.595
test01149,1968625.498
test01007,1969423.559
test01528,1970411.234
test01530,1970411.234
test01466,1971571.072
test01526,1971571.072
test01410,1972554.89
test01138,1972554.89
test00431,1973040.439
test00103,1973040.439
test01459,1973380.211
test01184,1974025.974
test01482,1974525.475
test00033,1975855.131
test00830,1976000
test00887,1976988.494
test00918,1977352.793
test00570,1977488.744
test01015,1977488.744
test01850,1978478.478
test01450,1979469.204
test01903,1979469.204
test00443,1979959.92
test01773,1980460.922
test01122,1980460.922
test00704,1981453.634
test00811,1981945.838
test00669,1982447.342
test01454,1983442.047
test01543,1983838.384
test01968,1983935.743
test01165,1983935.743
test00415,1983935.743
test00732,1986349.848
test01175,1986848.761
test00100,1986848.761
test01250,1987927.565
test00621,1988360.324
test00495,1988860.759
test00079,1988928.032
test00891,1989868.288
test01948,1989929.507
test01105,1990433.031
test00215,1992439.516
test00131,1992439.516
test00630,1993444.276
test01563,1993945.51
test01837,1994450.05
test00851,1995959.596
test01082,1996443.089
test01128,1996443.089
test01635,1996968.166
test01241,1996968.166
test00763,1997473.471
test00819,1997965.412
test00616,1998483.316
test01589,1998988.366
test00237,1999491.094
test00311,1999494.183
test00899,1999494.183
test01586,2000000
test00074,2001012.658
test01902,2002532.928
test00267,2002532.928
test01752,2002532.928
test01874,2002548.42
test00427,2003041.054
test00175,2003569.607
test01455,2004563.895
test01958,2005073.567
test00926,2005580.923
